Instancia;Grau;Guloso_Custo;Guloso_Tempo;Rand_0.1_Melhor;Rand_0.1_Media;Rand_0.1_Tempo_Medio;Rand_0.3_Melhor;Rand_0.3_Media;Rand_0.3_Tempo_Medio;Rand_0.5_Melhor;Rand_0.5_Media;Rand_0.5_Tempo_Medio;Reativo_Melhor;Reativo_Media;Reativo_Tempo_Medio
crd501;2;6285.00;0.0001;5821.00;6156.40;0.0546;6170.00;6588.30;0.1459;6274.00;6537.30;0.2016;6182.00;6182.00;1.1753
crd501;3;5111.00;0.0001;5111.00;5111.00;0.0658;5111.00;5111.00;0.0550;5111.00;5111.00;0.0499;5111.00;5111.00;0.5485
crd501;4;5111.00;0.0001;5111.00;5111.00;0.0629;5111.00;5111.00;0.0443;5111.00;5111.00;0.0431;5111.00;5111.00;0.5126
crd501;5;5111.00;0.0001;5111.00;5111.00;0.0654;5111.00;5111.00;0.0462;5111.00;5111.00;0.0417;5111.00;5111.00;0.5426
sym302;2;2517.00;0.0000;2055.00;2239.90;0.0213;2121.00;2264.30;0.0311;2165.00;2278.10;0.0379;2140.00;2140.00;0.2647
sym302;3;1373.00;0.0000;1311.00;1311.30;0.0206;1311.00;1311.90;0.0247;1311.00;1312.30;0.0134;1311.00;1311.00;0.1509
sym302;4;1269.00;0.0000;1256.00;1256.60;0.0150;1256.00;1256.00;0.0244;1256.00;1256.60;0.0106;1256.00;1256.00;0.1304
sym302;5;1252.00;0.0000;1252.00;1252.00;0.0153;1252.00;1252.00;0.0106;1252.00;1252.00;0.0097;1252.00;1252.00;0.1286
shrd159;2;1197.00;0.0000;922.00;947.90;0.0049;916.00;925.60;0.0070;914.00;919.70;0.0059;912.00;912.00;0.0504
shrd159;3;679.00;0.0000;601.00;607.30;0.0084;597.00;602.40;0.0051;599.00;605.90;0.0038;597.00;597.00;0.0259
shrd159;4;464.00;0.0000;431.00;437.00;0.0023;430.00;437.80;0.0022;434.00;439.60;0.0024;432.00;432.00;0.0239
shrd159;5;355.00;0.0000;333.00;337.80;0.0021;335.00;340.10;0.0022;334.00;338.40;0.0020;333.00;333.00;0.0203
shrd300;2;5582.00;0.0000;4061.00;4186.40;0.1725;4038.00;4130.80;0.1098;4002.00;4078.30;0.1211;4074.00;4074.00;1.1405
shrd300;3;2995.00;0.0000;2599.00;2624.80;0.0351;2607.00;2618.10;0.0305;2603.00;2615.30;0.0369;2610.00;2610.00;0.3024
shrd300;4;2163.00;0.0000;1916.00;1939.00;0.0233;1923.00;1937.80;0.0229;1922.00;1940.90;0.0266;1926.00;1926.00;0.2304
shrd300;5;1603.00;0.0000;1516.00;1533.80;0.0269;1523.00;1531.50;0.0200;1517.00;1539.90;0.0192;1520.00;1520.00;0.1851
str700;2;4826.00;0.0002;4868.00;4954.20;0.4298;4832.00;4918.40;0.4104;4846.00;4904.60;0.4303;4842.00;4842.00;4.0060
str700;3;4397.00;0.0002;4397.00;4397.00;0.1842;4397.00;4397.00;0.1891;4397.00;4397.00;0.1812;4397.00;4397.00;1.7937
str700;4;4249.00;0.0002;4245.00;4245.00;0.1500;4245.00;4245.00;0.1493;4245.00;4245.00;0.1457;4245.00;4245.00;1.4187
str700;5;4100.00;0.0002;4100.00;4100.00;0.1552;4100.00;4100.00;0.1464;4100.00;4100.00;0.1394;4100.00;4100.00;1.3878
